date,open,high,low,close,volume
2024-11-14,45.6,45.6,45.0,45.0,79049126
2024-11-15,45.0,45.4,44.6,45.0,52930527
2024-11-18,44.9,45.8,44.85,45.1,69335119
2024-11-19,45.2,46.0,45.2,45.2,60279202
2024-11-20,45.2,45.45,44.9,44.9,61462099
2024-11-21,44.55,44.75,44.4,44.4,67566092
2024-11-22,44.75,45.2,44.45,44.45,50873807
2024-11-25,45.1,45.45,44.9,44.9,77140885
2024-11-26,44.8,45.7,44.6,45.4,42091454
2024-11-27,44.85,44.9,43.95,44.4,89385803
2024-11-28,43.95,44.1,43.0,43.9,84388891
2024-11-29,43.9,44.1,43.25,43.55,66391636
2024-12-02,43.95,44.6,43.8,44.6,38808605
2024-12-03,45.1,45.15,44.3,44.8,50827676
2024-12-04,44.25,44.45,44.0,44.45,51839157
2024-12-05,44.05,44.2,43.6,43.6,57737775
2024-12-06,43.15,43.95,43.15,43.5,43886931
2024-12-09,43.5,44.05,43.5,44.05,33312746
2024-12-10,43.8,43.95,43.5,43.7,33052078
2024-12-11,43.25,43.45,43.0,43.0,44548779
2024-12-12,43.15,43.3,42.15,42.5,73331330
2024-12-13,42.0,42.1,40.6,41.45,116092296
2024-12-16,41.3,41.6,40.7,41.45,85871642
2024-12-17,42.0,43.4,41.95,42.55,102542478
2024-12-18,43.1,43.85,43.0,43.7,88714676
2024-12-19,43.0,43.6,42.7,43.0,69363809
2024-12-20,42.6,43.0,42.15,42.35,70140648
2024-12-23,42.75,43.3,42.75,42.9,36819095
2024-12-24,44.4,44.95,43.7,44.0,133767867
2024-12-25,44.5,44.7,44.05,44.05,52749372
2024-12-26,44.3,44.3,43.5,43.7,28538664
2024-12-27,43.55,44.05,43.45,43.6,22762969
2024-12-30,43.2,43.6,43.1,43.1,25753824
2024-12-31,42.7,43.45,42.2,43.05,43755276
2025-01-02,42.9,43.7,42.85,43.7,65489284
2025-01-03,43.95,44.15,43.1,43.1,42529890
2025-01-06,43.6,43.75,43.35,43.4,33049291
2025-01-07,43.65,43.8,42.35,42.35,59202089
2025-01-08,42.4,42.9,42.35,42.7,38044876
2025-01-09,42.7,42.95,41.6,41.6,47183759
2025-01-10,41.25,41.6,40.8,41.3,41145927
2025-01-13,41.0,41.7,40.8,40.9,49325493
2025-01-14,41.2,42.25,41.05,42.25,37186189
2025-01-15,42.05,42.5,41.45,41.45,36667637
2025-01-16,41.9,42.25,41.55,41.55,37412485
2025-01-17,41.4,41.75,41.2,41.2,44241179
2025-01-20,41.55,42.75,41.5,42.75,47464919
2025-01-21,42.75,43.3,42.4,42.95,42396410
2025-01-22,39.7,40.55,39.7,40.2,149025482
2025-02-03,40.2,41.65,40.0,40.5,112511997
2025-02-04,40.95,40.95,40.1,40.1,58336092
2025-02-05,40.4,40.65,40.1,40.1,34136699
2025-02-06,40.3,40.35,39.95,40.1,32830275
2025-02-07,40.1,40.3,40.1,40.15,23231817
2025-02-10,40.15,40.3,39.9,40.2,31106682
2025-02-11,40.3,40.5,40.15,40.4,29978227
2025-02-12,40.4,40.5,40.05,40.1,28301284
2025-02-13,40.25,41.75,40.2,41.4,64119946
2025-02-14,41.5,41.75,41.05,41.4,28678717
2025-02-17,41.5,42.2,41.45,42.0,33131130
2025-02-18,42.05,42.3,41.7,41.95,36105442
2025-02-19,42.2,42.95,42.15,42.55,54879870
2025-02-20,43.0,43.3,42.85,43.0,40230687
2025-02-21,43.35,43.6,43.2,43.6,34489308
2025-02-24,43.05,43.65,42.8,43.55,30334019
2025-02-25,43.05,43.5,42.9,43.3,36339641
2025-02-26,43.1,43.8,43.05,43.6,35296664
2025-02-27,44.0,44.15,43.4,43.7,69493077
2025-03-03,43.1,43.6,42.85,43.6,53313266
2025-03-04,42.95,43.85,42.9,43.6,44412629
2025-03-05,44.1,44.5,43.7,44.0,46628841
2025-03-06,44.3,44.45,43.9,44.0,30510374
2025-03-07,44.0,44.6,43.8,44.15,31930282
2025-03-10,44.55,45.3,44.4,45.05,59203254
2025-03-11,44.3,45.0,44.2,44.85,68311501
2025-03-12,44.7,44.95,44.1,44.8,43460814
2025-03-13,44.7,44.7,43.6,43.7,57922874
2025-03-14,43.55,45.05,43.5,44.9,68624821
2025-03-17,45.0,45.15,44.1,44.1,44408424
2025-03-18,44.2,45.0,44.15,44.5,42307201
2025-03-19,44.5,44.9,44.3,44.3,37455059
2025-03-20,44.7,45.15,44.7,45.15,43495732
2025-03-21,45.0,45.0,44.5,45.0,39471745
2025-03-24,45.0,45.3,44.6,44.85,36174329
2025-03-25,45.0,45.2,44.45,44.85,36633108
2025-03-26,44.75,44.8,44.3,44.55,28296047
2025-03-27,44.1,44.8,44.0,44.8,43394366
2025-03-28,44.6,44.6,44.1,44.55,38051275
2025-03-31,43.55,44.65,43.3,44.65,62053019
2025-04-01,47.2,48.0,45.25,45.95,143677906
2025-04-02,45.8,45.8,45.15,45.25,50674784
2025-04-07,40.75,40.75,40.75,40.75,14322325
2025-04-08,39.55,42.0,39.5,41.7,121853267
2025-04-09,40.55,41.5,39.7,39.9,85701529
2025-04-10,43.85,43.85,43.5,43.85,49755593
2025-04-11,42.7,44.3,42.1,44.1,69607331
2025-04-14,44.8,45.35,44.3,44.3,56583195
2025-04-15,44.5,44.95,44.4,44.7,31336537
2025-04-16,44.2,45.0,44.2,44.95,35970732
2025-04-17,44.85,44.85,44.05,44.1,20672164
2025-04-18,44.45,44.45,44.1,44.3,16139754
2025-04-21,44.35,44.35,43.65,43.65,14753763
2025-04-22,43.6,44.55,43.55,44.3,27874721
2025-04-23,44.95,45.3,44.6,45.1,33826518
2025-04-24,44.75,44.95,43.4,43.4,42911648
2025-04-25,44.1,44.7,43.95,44.65,54530408
2025-04-28,44.55,44.9,44.2,44.9,23062637
2025-04-29,44.7,45.1,44.65,44.95,28542996
2025-04-30,44.75,45.3,44.75,45.2,30414588
2025-05-02,45.2,45.85,45.15,45.65,31343335
2025-05-05,45.75,45.8,44.6,45.05,35467426
2025-05-06,45.0,45.8,44.6,45.4,43527708
2025-05-07,45.6,45.9,45.4,45.75,31901496
2025-05-08,45.4,45.75,45.3,45.3,21261514
2025-05-09,45.2,45.7,45.15,45.55,16916458
2025-05-12,45.75,46.45,45.6,46.45,34164000
2025-05-13,46.65,46.85,46.35,46.55,32070699
2025-05-14,46.9,47.05,46.8,47.0,27592069
2025-05-15,46.95,47.5,46.85,47.5,42408969
2025-05-16,47.6,47.8,47.3,47.8,29107357
