date,open,high,low,close,volume
2024-11-14,5.15,5.53,5.09,5.3,11018125
2024-11-15,5.23,5.85,5.23,5.64,16820485
2024-11-18,5.63,6.03,5.46,5.63,17121587
2024-11-19,5.47,5.51,5.17,5.31,13135740
2024-11-20,5.23,5.36,5.18,5.31,7555785
2024-11-21,5.29,5.34,5.14,5.2,6257146
2024-11-22,5.21,5.29,5.03,5.03,6346926
2024-11-25,5.05,5.07,4.91,4.94,4780738
2024-11-26,4.95,5.03,4.92,4.93,4022545
2024-11-27,4.91,5.06,4.89,5.05,4791789
2024-11-28,5.02,5.03,4.94,4.95,3380376
2024-11-29,4.97,5.03,4.95,4.98,3610099
2024-12-02,4.94,5.0,4.94,4.98,4100223
2024-12-03,4.97,5.01,4.93,5.0,3851015
2024-12-04,4.98,5.07,4.95,5.02,4999356
2024-12-05,5.0,5.11,4.98,5.0,3869747
2024-12-06,4.99,5.05,4.99,5.03,3319762
2024-12-09,5.04,5.28,5.02,5.18,6778881
2024-12-10,5.23,5.27,5.11,5.13,5643486
2024-12-11,5.12,5.14,5.08,5.12,3114647
2024-12-12,5.11,5.16,5.08,5.16,3536573
2024-12-13,5.13,5.14,5.05,5.05,5542409
2024-12-16,5.06,5.15,5.05,5.08,4724902
2024-12-17,5.07,5.18,5.05,5.07,4262606
2024-12-18,5.12,5.21,5.09,5.15,4617105
2024-12-19,5.1,5.22,5.08,5.19,4280397
2024-12-20,5.17,5.19,5.09,5.1,3527728
2024-12-23,5.09,5.2,5.08,5.14,4159130
2024-12-24,5.12,5.18,5.12,5.18,3130858
2024-12-25,5.19,5.39,5.18,5.27,6754089
2024-12-26,5.29,5.29,5.15,5.22,4453455
2024-12-27,5.19,5.23,5.17,5.2,2987777
2024-12-30,5.18,5.24,5.17,5.24,3411848
2024-12-31,5.23,5.27,5.14,5.14,4499627
2025-01-02,5.14,5.14,4.82,4.85,6316935
2025-01-03,4.84,4.86,4.71,4.75,3751284
2025-01-06,4.74,4.74,4.62,4.69,3178947
2025-01-07,4.67,4.73,4.66,4.73,2056171
2025-01-08,4.71,4.76,4.64,4.74,2996819
2025-01-09,4.71,4.73,4.67,4.69,1624933
2025-01-10,4.68,4.69,4.61,4.61,1828469
2025-01-13,4.56,4.6,4.53,4.57,1722224
2025-01-14,4.58,4.68,4.57,4.68,2146643
2025-01-15,4.67,4.72,4.64,4.65,1378119
2025-01-16,4.67,4.72,4.65,4.68,1796687
2025-01-17,4.68,4.71,4.65,4.69,1291526
2025-01-20,4.72,4.73,4.66,4.66,1492491
2025-01-21,4.69,4.7,4.64,4.65,1437196
2025-01-22,4.64,4.65,4.6,4.63,1610838
2025-01-23,4.67,4.74,4.66,4.66,2333288
2025-01-24,4.65,4.71,4.65,4.7,1638454
2025-01-27,4.7,4.75,4.69,4.72,1991362
2025-02-05,4.75,4.88,4.69,4.82,3569536
2025-02-06,4.9,4.99,4.82,4.96,5076416
2025-02-07,4.92,5.29,4.88,5.06,8556285
2025-02-10,5.27,5.47,5.22,5.29,13380589
2025-02-11,5.23,5.45,5.22,5.31,7475724
2025-02-12,5.27,5.36,5.25,5.33,4708411
2025-02-13,5.34,5.42,5.3,5.33,4701389
2025-02-14,5.31,5.88,5.24,5.81,15929592
2025-02-17,5.98,6.41,5.91,6.34,21644720
2025-02-18,6.38,6.4,6.08,6.25,17830106
2025-02-19,6.24,6.55,6.12,6.27,14800968
2025-02-20,6.17,6.28,6.01,6.03,10935287
2025-02-21,6.19,6.65,6.16,6.65,15382829
2025-02-24,6.71,6.76,6.43,6.56,16572511
2025-02-25,6.36,6.59,6.32,6.46,9009093
2025-02-26,6.63,6.68,6.34,6.44,7312310
2025-02-27,6.4,6.5,6.11,6.21,7896356
2025-02-28,6.17,6.25,5.99,6.08,7152211
2025-03-03,6.16,6.22,6.0,6.05,5745427
2025-03-04,5.97,6.06,5.92,6.01,5601391
2025-03-05,6.03,6.11,5.99,6.09,4719211
2025-03-06,6.23,6.52,6.19,6.36,10042225
2025-03-07,6.33,6.4,6.2,6.24,4877378
2025-03-10,6.23,6.23,6.02,6.05,4112163
2025-03-11,5.96,6.04,5.94,6.04,2889070
2025-03-12,6.06,6.23,5.95,6.06,5157915
2025-03-13,6.01,6.07,5.91,5.96,3238687
2025-03-14,5.94,6.08,5.93,6.03,3301013
2025-03-17,6.01,6.03,5.94,5.98,2929481
2025-03-18,6.08,6.2,6.01,6.04,4786457
2025-03-19,5.96,5.97,5.57,5.6,11358768
2025-03-20,5.6,5.62,5.52,5.54,4761207
2025-03-21,5.53,5.58,5.45,5.53,5022475
2025-03-24,5.48,5.52,5.45,5.51,3277821
2025-03-25,5.5,5.5,5.41,5.44,2823992
2025-03-26,5.45,5.48,5.43,5.45,2154182
2025-03-27,5.45,5.5,5.42,5.42,2790656
2025-03-28,5.43,5.44,5.37,5.4,2299123
2025-03-31,5.37,5.41,5.34,5.39,2274501
2025-04-01,5.39,5.41,5.37,5.39,1830236
2025-04-02,5.38,5.44,5.36,5.41,1949607
2025-04-03,5.37,5.47,5.35,5.42,2716967
2025-04-07,5.21,5.23,4.86,5.03,6548816
2025-04-08,5.02,5.18,5.01,5.17,4548456
2025-04-09,5.13,5.31,5.08,5.29,4959798
2025-04-10,5.35,5.36,5.23,5.26,3618618
2025-04-11,5.26,5.26,5.19,5.24,2606201
2025-04-14,5.26,5.27,5.22,5.25,2183176
2025-04-15,5.24,5.25,5.18,5.24,2251718
2025-04-16,5.22,5.3,5.19,5.3,3376333
2025-04-17,5.28,5.31,5.23,5.27,2213403
2025-04-18,5.24,5.27,5.21,5.27,1516431
2025-04-21,5.26,5.31,5.24,5.27,1440069
2025-04-22,5.27,5.29,5.22,5.23,1833629
2025-04-23,5.24,5.25,5.16,5.17,2661462
2025-04-24,5.17,5.2,5.14,5.16,1831173
2025-04-25,5.17,5.19,5.14,5.15,1642972
2025-04-28,5.14,5.2,5.11,5.18,2102966
2025-04-29,5.18,5.19,5.15,5.17,1278644
2025-04-30,5.17,5.19,5.14,5.15,1488351
2025-05-06,5.17,5.31,5.15,5.31,3726514
2025-05-07,5.38,5.4,5.26,5.31,2908479
2025-05-08,5.29,5.31,5.27,5.29,1792217
2025-05-09,5.29,5.31,5.26,5.26,1636604
2025-05-12,5.28,5.32,5.27,5.31,1948545
2025-05-13,5.32,5.35,5.26,5.27,1849496
2025-05-14,5.27,5.37,5.25,5.37,3347349
2025-05-15,5.35,5.37,5.26,5.27,3021391
2025-05-16,5.25,5.26,5.18,5.21,2499769
2025-05-19,5.2,5.25,5.18,5.25,1728027
2025-05-20,5.23,5.33,5.22,5.3,2495890
2025-05-21,5.3,5.31,5.26,5.29,1443187
2025-05-22,5.27,5.29,5.24,5.26,1326860
2025-05-23,5.25,5.3,5.2,5.21,2114703
2025-05-26,5.2,5.28,5.2,5.23,1667317
2025-05-27,5.22,5.28,5.21,5.25,1848958
2025-05-28,5.24,5.27,5.15,5.16,2367350
2025-05-29,5.15,5.23,5.14,5.23,2090904
2025-05-30,5.21,5.22,5.16,5.19,1516766
2025-06-03,5.15,5.17,5.13,5.16,1901815
2025-06-04,5.17,5.18,5.15,5.17,1513440
2025-06-05,5.17,5.22,5.14,5.21,2278807
2025-06-06,5.2,5.25,5.18,5.25,1833473
2025-06-09,5.25,5.27,5.2,5.22,2365905
2025-06-10,5.22,5.23,5.13,5.14,2863365
2025-06-11,5.14,5.17,5.12,5.14,2437575
2025-06-12,5.13,5.14,5.09,5.1,2184222
2025-06-13,5.09,5.11,5.06,5.1,2117131
2025-06-16,5.08,5.11,5.07,5.1,1389580
2025-06-17,5.1,5.15,5.08,5.14,1942605
2025-06-18,5.13,5.15,5.1,5.12,1230316
2025-06-19,5.11,5.13,5.04,5.06,1911558
2025-06-20,5.06,5.09,5.05,5.08,1303476
2025-06-23,5.06,5.13,5.05,5.11,1775081
2025-06-24,5.11,5.18,5.1,5.16,2117977
2025-06-25,5.17,5.22,5.15,5.21,2314334
2025-06-26,5.21,5.23,5.17,5.18,1732582
2025-06-27,5.2,5.26,5.19,5.2,1991470
2025-06-30,5.19,5.27,5.18,5.23,1787751
2025-07-01,5.24,5.25,5.22,5.24,1160696
2025-07-02,5.23,5.25,5.21,5.22,1135145
2025-07-03,5.23,5.24,5.19,5.22,1258401
2025-07-04,5.22,5.25,5.2,5.23,1366675
2025-07-07,5.22,5.25,5.21,5.24,1182289
2025-07-08,5.24,5.28,5.23,5.27,1456487
2025-07-09,5.27,5.36,5.26,5.32,3395037
2025-07-10,5.32,5.39,5.3,5.3,2803997
2025-07-11,5.3,5.37,5.3,5.3,2800581
2025-07-14,5.3,5.36,5.29,5.32,2441153
2025-07-15,5.31,5.34,5.27,5.33,2292538
