date,open,high,low,close,volume
2024-11-14,78.78,79.18,77.26,77.34,174972
2024-11-15,77.34,78.13,76.07,76.26,188634
2024-11-18,76.27,78.07,75.27,75.63,226835
2024-11-19,75.97,76.47,75.47,76.4,134706
2024-11-20,76.27,76.32,75.27,76.06,197162
2024-11-21,76.4,76.51,75.53,75.95,141898
2024-11-22,75.56,75.77,73.04,73.16,310177
2024-11-25,73.16,73.71,71.73,72.27,179756
2024-11-26,71.99,72.72,71.58,72.17,106052
2024-11-27,72.15,73.82,71.85,73.75,150981
2024-11-28,73.36,73.94,72.92,73.18,111177
2024-11-29,73.27,74.27,72.36,73.56,174088
2024-12-02,73.47,74.76,73.17,74.66,163287
2024-12-03,74.65,74.71,73.89,74.33,123771
2024-12-04,74.27,74.27,72.52,72.67,237866
2024-12-05,72.29,72.46,71.27,71.6,193947
2024-12-06,71.62,73.25,71.62,72.9,173516
2024-12-09,72.97,73.33,72.17,72.44,149046
2024-12-10,74.42,75.37,73.43,73.65,322812
2024-12-11,73.37,74.32,73.27,74.17,141125
2024-12-12,74.13,75.91,73.85,75.62,259971
2024-12-13,75.18,75.22,73.94,74.02,196938
2024-12-16,74.02,74.51,72.64,72.79,131403
2024-12-17,72.62,74.95,72.5,74.38,192356
2024-12-18,74.49,75.6,73.91,73.98,148571
2024-12-19,73.6,74.05,73.0,73.53,83827
2024-12-20,73.54,73.74,72.63,72.96,128671
2024-12-23,72.95,74.24,72.9,73.4,134278
2024-12-24,73.41,74.67,73.15,74.16,155855
2024-12-25,74.27,74.27,72.31,72.58,186454
2024-12-26,72.58,72.67,71.85,72.35,167291
2024-12-27,72.36,72.46,71.68,72.26,166676
2024-12-30,72.15,73.25,71.92,72.12,186824
2024-12-31,71.89,72.22,70.61,70.62,236276
2025-01-02,70.62,70.62,68.67,68.99,257307
2025-01-03,68.99,70.41,68.97,69.36,177044
2025-01-06,69.39,69.98,68.95,69.53,143874
2025-01-07,69.39,69.67,68.45,68.75,163240
2025-01-08,68.75,68.75,67.04,67.47,224259
2025-01-09,67.38,67.7,66.79,66.98,157824
2025-01-10,67.09,67.37,65.17,65.17,235103
2025-01-13,65.16,66.36,64.72,65.96,151597
2025-01-14,65.96,67.26,65.55,67.08,178332
2025-01-15,67.27,67.37,66.17,66.45,112574
2025-01-16,66.44,68.27,66.42,67.01,192765
2025-01-17,66.92,68.56,66.72,67.88,185262
2025-01-20,68.57,69.05,67.79,67.99,160453
2025-01-21,68.27,68.32,66.31,66.79,188537
2025-01-22,66.58,67.04,65.32,67.01,234111
2025-01-23,67.3,68.02,67.19,67.33,171964
2025-01-24,67.33,67.79,66.98,67.25,140464
2025-01-27,67.27,68.27,67.26,67.8,160294
2025-02-05,67.86,68.07,66.47,67.0,131563
2025-02-06,66.94,67.05,65.77,66.39,219327
2025-02-07,66.27,68.57,65.81,68.08,384058
2025-02-10,68.47,70.87,68.32,70.57,358010
2025-02-11,70.29,70.51,69.83,70.43,147779
2025-02-12,70.44,71.13,70.1,70.72,177114
2025-02-13,70.8,73.26,70.77,72.57,374381
2025-02-14,72.26,72.26,69.49,69.73,400509
2025-02-17,69.74,69.82,68.68,69.69,225465
2025-02-18,69.2,70.61,68.97,69.23,221066
2025-02-19,69.18,69.33,68.51,68.92,204892
2025-02-20,68.72,68.72,67.39,67.82,258828
2025-02-21,67.82,68.08,66.72,67.35,230947
2025-02-24,67.07,67.94,66.97,67.37,191015
2025-02-25,66.94,67.21,66.16,66.33,212913
2025-02-26,66.51,67.77,66.51,67.62,222435
2025-02-27,67.62,68.51,67.25,68.19,204996
2025-02-28,68.17,69.86,67.93,68.08,265095
2025-03-03,68.08,69.43,67.98,68.24,192872
2025-03-04,67.88,68.24,67.18,67.68,157215
2025-03-05,67.67,67.76,67.12,67.18,116492
2025-03-06,67.57,68.0,67.07,67.63,143345
2025-03-07,67.63,68.43,67.21,67.89,184586
2025-03-10,67.89,68.96,67.42,68.47,166962
2025-03-11,67.79,68.45,67.47,68.45,158259
2025-03-12,68.45,68.57,67.07,67.1,283281
2025-03-13,67.26,67.75,66.95,67.32,141441
2025-03-14,67.36,69.56,67.27,69.11,360473
2025-03-17,69.52,71.04,69.5,70.07,237176
2025-03-18,68.87,68.87,67.45,67.87,391946
2025-03-19,67.65,69.25,67.63,68.58,223025
2025-03-20,68.31,68.5,67.52,67.6,185016
2025-03-21,67.53,68.05,66.63,66.67,223937
2025-03-24,66.63,66.86,66.05,66.33,183655
2025-03-25,66.37,67.82,65.97,67.75,249868
2025-03-26,67.7,67.73,67.2,67.34,121132
2025-03-27,67.37,68.27,67.35,67.8,171346
2025-03-28,67.81,68.21,66.81,66.98,141281
2025-03-31,67.36,67.82,66.34,66.48,152554
2025-04-01,66.49,66.91,66.15,66.37,143216
2025-04-02,66.37,66.41,65.79,65.86,170743
2025-04-03,64.86,65.27,64.67,65.01,195279
2025-04-07,62.07,62.07,58.44,58.44,449230
2025-04-08,59.47,59.52,57.15,59.52,435353
2025-04-09,58.44,59.44,57.77,59.44,321193
2025-04-10,60.75,60.76,59.28,60.15,266349
2025-04-11,59.62,59.77,58.92,59.47,183921
2025-04-14,59.51,59.72,58.58,58.72,241032
2025-04-15,57.63,57.65,54.49,55.53,669616
2025-04-16,55.54,55.57,53.83,54.62,419179
2025-04-17,54.07,54.54,53.85,54.16,344153
2025-04-18,54.18,54.32,53.87,54.26,208295
2025-04-21,54.15,54.15,53.16,53.53,340944
2025-04-22,53.27,53.82,53.16,53.35,233711
2025-04-23,53.59,54.94,53.59,54.32,396007
2025-04-24,54.44,54.44,53.49,53.72,211666
2025-04-25,54.17,56.26,54.16,55.32,486825
2025-04-28,55.32,55.32,54.4,54.46,221998
2025-04-29,54.48,54.49,53.61,53.77,217374
2025-04-30,53.67,54.4,53.57,53.71,167348
2025-05-06,54.15,54.37,53.77,54.33,266810
2025-05-07,55.27,55.37,54.24,54.7,266258
2025-05-08,54.29,54.97,54.15,54.72,204166
2025-05-09,54.66,54.66,53.95,54.16,178435
2025-05-12,54.76,56.75,54.67,56.75,613487
2025-05-13,57.27,57.37,56.05,56.23,338237
2025-05-14,56.22,57.59,56.06,57.56,380971
2025-05-15,57.3,57.69,56.55,56.7,246833
2025-05-16,56.42,56.46,55.89,56.1,186263
2025-05-19,56.1,56.21,55.42,56.02,143920
2025-05-20,55.93,56.36,55.58,56.08,142921
2025-05-21,55.81,56.33,55.78,55.93,128649
2025-05-22,55.87,55.87,55.31,55.43,130734
2025-05-23,55.49,56.32,55.33,55.35,215234
2025-05-26,55.36,55.46,54.6,54.68,185026
2025-05-27,54.7,54.8,54.17,54.22,142351
2025-05-28,54.38,54.41,54.15,54.18,96507
2025-05-29,54.25,54.8,53.92,54.8,143998
2025-05-30,54.88,54.88,53.92,54.14,150576
2025-06-03,54.06,54.38,54.0,54.14,121928
2025-06-04,54.14,54.62,54.01,54.42,115984
2025-06-05,54.5,54.58,54.08,54.26,156285
2025-06-06,54.28,55.79,54.25,54.88,243161
2025-06-09,55.07,55.6,54.8,55.17,182018
2025-06-10,55.18,55.38,54.31,54.63,207079
2025-06-11,54.64,55.14,54.53,55.02,156005
2025-06-12,54.98,54.99,54.42,54.5,163103
2025-06-13,54.31,55.22,54.0,54.41,209051
2025-06-16,54.36,54.85,54.01,54.13,189961
2025-06-17,54.14,54.27,53.88,53.98,132341
2025-06-18,54.04,54.4,53.85,53.96,130096
2025-06-19,53.95,53.97,53.24,53.4,167777
2025-06-20,53.4,53.82,53.19,53.19,140224
2025-06-23,52.9,52.9,52.1,52.53,217469
2025-06-24,52.54,53.3,52.49,53.24,237343
2025-06-25,53.24,53.69,52.83,53.61,254327
2025-06-26,53.52,53.79,53.16,53.17,201587
2025-06-27,53.17,53.97,53.1,53.39,240337
2025-06-30,53.39,54.32,53.23,54.26,242871
2025-07-01,54.03,54.49,53.93,53.98,161937
2025-07-02,53.98,54.99,53.8,54.21,314324
2025-07-03,54.22,54.98,54.0,54.56,263592
2025-07-04,54.57,54.66,53.91,54.09,226736
2025-07-07,54.09,54.98,53.93,54.3,186016
2025-07-08,54.3,55.79,54.01,55.3,369203
2025-07-09,55.33,55.44,54.36,54.44,265129
2025-07-10,54.45,56.8,54.45,56.41,671779
2025-07-11,56.18,56.52,55.72,55.72,401422
2025-07-14,55.73,56.05,55.23,55.25,263070
2025-07-15,55.25,55.45,54.5,55.02,245153
2025-07-16,55.0,55.09,54.71,54.84,155577
2025-07-17,54.89,55.33,54.72,55.15,223018
2025-07-18,55.52,59.96,55.31,59.72,1178913
2025-07-21,59.99,60.35,59.01,59.94,628163
2025-07-22,60.4,63.05,59.9,63.05,1030836
2025-07-23,63.0,63.28,61.66,61.83,682328
2025-07-24,61.25,62.71,61.24,62.51,510850
2025-07-25,62.58,64.64,62.57,62.98,546336
2025-07-28,62.0,62.96,61.55,62.6,398069
2025-07-29,62.61,63.15,61.83,61.96,307875
2025-07-30,62.56,64.95,62.52,63.84,662587
2025-07-31,63.8,63.8,61.82,62.31,515265
2025-08-01,61.4,61.88,60.66,60.92,393958
2025-08-04,60.4,60.78,59.92,60.48,255821
2025-08-05,60.58,61.25,60.5,60.99,227963
2025-08-06,60.99,61.36,60.57,61.08,197459
2025-08-07,61.19,61.55,60.24,60.62,224057
2025-08-08,60.8,61.46,60.3,60.8,209182
2025-08-11,61.07,61.8,61.0,61.46,263564
2025-08-12,61.08,64.49,60.9,62.9,633870
2025-08-13,62.91,63.16,62.31,62.98,313200
2025-08-14,62.99,63.47,62.05,62.51,306674
2025-08-15,62.15,63.65,62.1,62.99,309612
2025-08-18,63.05,63.7,62.63,62.71,395254
2025-08-19,62.9,64.2,62.13,62.19,381997
2025-08-20,62.19,63.09,61.57,63.04,337233
2025-08-21,63.16,66.0,63.16,65.6,785602
2025-08-22,65.85,67.48,65.41,67.17,564038
2025-08-25,67.25,68.77,66.6,68.17,513981
2025-08-26,68.17,70.78,67.72,69.63,556443
2025-08-27,69.64,70.24,68.05,68.05,487422
2025-08-28,67.84,69.15,66.5,68.13,485337
2025-08-29,68.14,69.12,68.06,68.6,361429
2025-09-01,68.6,69.85,68.0,69.02,403277
2025-09-02,69.02,69.21,66.95,67.27,385692
2025-09-03,67.27,67.96,65.9,66.89,284233
2025-09-04,66.09,66.6,63.78,64.69,502026
2025-09-05,64.64,66.12,64.51,65.85,324338
2025-09-08,65.88,69.93,65.77,69.6,630919
2025-09-09,69.65,70.2,67.82,68.52,403633
2025-09-10,67.84,68.38,66.96,67.54,244393
2025-09-11,67.3,68.5,66.82,68.43,319295
2025-09-12,68.44,68.71,67.1,67.79,263774
2025-09-15,67.79,69.09,67.5,67.74,209925
2025-09-16,67.81,68.05,66.0,66.61,284113
2025-09-17,66.32,67.5,66.06,67.01,212182
2025-09-18,67.02,67.08,65.35,65.88,314010
2025-09-19,65.66,66.52,65.31,65.31,293063
2025-09-22,65.22,65.22,63.51,64.1,287563
