date,open,high,low,close,volume
2024-11-14,41.22,41.22,39.64,39.74,828706
2024-11-15,39.54,39.96,38.94,38.94,770599
2024-11-18,38.94,39.45,37.96,38.15,801792
2024-11-19,38.24,38.53,37.38,38.17,868379
2024-11-20,38.18,38.36,37.82,38.23,802781
2024-11-21,38.15,39.27,37.64,38.87,970589
2024-11-22,38.64,39.27,37.24,37.29,902723
2024-11-25,37.3,37.44,35.95,36.3,987550
2024-11-26,36.45,37.52,36.3,36.8,755554
2024-11-27,36.67,39.14,36.54,38.77,1495365
2024-11-28,38.5,38.58,37.78,37.84,729523
2024-11-29,37.69,38.92,37.69,38.32,901146
2024-12-02,38.83,40.49,38.82,40.2,1366204
2024-12-03,40.2,40.38,39.56,39.95,700547
2024-12-04,39.99,40.14,38.97,39.23,571380
2024-12-05,39.14,39.44,38.55,39.01,524039
2024-12-06,39.34,40.14,39.14,39.85,885410
2024-12-09,39.85,40.23,39.29,39.52,425672
2024-12-10,40.89,41.47,40.29,40.53,1310042
2024-12-11,40.55,41.71,39.84,40.89,958063
2024-12-12,41.03,41.84,40.57,41.01,706574
2024-12-13,40.64,40.72,40.04,40.22,662496
2024-12-16,40.04,40.3,39.29,39.42,523916
2024-12-17,39.42,40.99,39.33,39.94,720024
2024-12-18,40.17,40.33,39.6,39.7,454735
2024-12-19,39.29,41.49,38.98,41.31,1084658
2024-12-20,41.36,41.59,40.82,40.92,614387
2024-12-23,40.92,41.47,39.94,40.1,569719
2024-12-24,40.2,41.09,39.89,41.04,595175
2024-12-25,41.04,41.62,40.56,40.71,468934
2024-12-26,40.6,42.02,40.27,41.96,905243
2024-12-27,41.92,41.93,40.87,40.99,826370
2024-12-30,40.99,41.74,40.79,41.29,585295
2024-12-31,41.74,41.74,40.09,40.4,640873
2025-01-02,40.23,40.4,38.47,38.85,691999
2025-01-03,38.85,40.02,38.32,38.87,758414
2025-01-06,38.88,39.63,38.36,38.63,477535
2025-01-07,38.83,40.66,38.74,40.1,859222
2025-01-08,39.78,39.84,38.49,38.79,793783
2025-01-09,38.73,39.13,38.3,38.65,513048
2025-01-10,38.54,38.65,37.44,37.8,698491
2025-01-13,37.34,38.34,37.25,37.5,414231
2025-01-14,37.78,39.26,37.04,39.25,840034
2025-01-15,38.79,39.1,38.18,38.71,540128
2025-01-16,39.11,39.38,38.44,38.86,426706
2025-01-17,38.38,39.35,38.27,38.8,434593
2025-01-20,39.5,40.81,39.49,40.43,898748
2025-01-21,40.56,42.22,40.47,41.53,849346
2025-01-22,41.14,41.53,39.34,39.73,1193905
2025-01-23,40.34,40.4,39.22,39.26,698160
2025-01-24,39.32,40.92,39.32,40.61,886929
2025-01-27,40.39,40.86,39.74,39.83,473248
2025-02-05,40.34,41.0,39.55,40.06,715985
2025-02-06,39.44,41.27,39.42,41.22,876795
2025-02-07,41.22,42.84,41.14,42.24,1090346
2025-02-10,42.64,42.9,42.02,42.3,591800
2025-02-11,42.32,42.61,41.52,41.87,438637
2025-02-12,42.62,44.0,42.26,43.99,1080245
2025-02-13,44.0,44.08,42.94,43.05,662625
2025-02-14,43.04,43.63,42.84,43.17,424748
2025-02-17,43.44,43.61,42.06,42.41,722703
2025-02-18,42.35,42.82,41.57,41.73,568752
2025-02-19,41.75,42.51,41.62,42.39,581224
2025-02-20,42.24,43.97,42.17,43.59,835036
2025-02-21,43.6,45.02,43.41,44.62,987271
2025-02-24,44.62,45.78,43.99,44.54,634777
2025-02-25,43.84,46.64,43.63,45.82,911927
2025-02-26,45.68,45.82,44.32,44.59,670234
2025-02-27,44.65,44.84,43.72,44.22,550014
2025-02-28,43.96,44.09,42.64,42.79,535684
2025-03-03,43.62,43.62,41.54,41.95,532953
2025-03-04,41.57,41.86,41.11,41.49,466196
2025-03-05,41.61,42.13,41.08,41.55,491781
2025-03-06,41.79,42.59,41.79,42.01,655338
2025-03-07,42.05,42.22,40.96,41.17,665116
2025-03-10,40.94,41.28,40.21,40.72,721416
2025-03-11,40.14,40.29,39.34,39.91,799444
2025-03-12,39.87,40.6,39.2,40.19,837443
2025-03-13,40.24,40.5,39.88,40.01,540422
2025-03-14,39.84,40.88,39.65,40.64,859912
2025-03-17,40.94,41.01,40.17,40.31,589084
2025-03-18,40.35,40.63,40.02,40.5,598912
2025-03-19,40.26,40.52,39.64,40.37,584473
2025-03-20,40.5,40.51,39.96,40.06,376801
2025-03-21,40.29,40.83,39.24,39.5,644422
2025-03-24,39.58,40.98,39.52,40.7,903183
2025-03-25,40.65,40.84,40.1,40.42,416234
2025-03-26,40.42,40.71,40.29,40.4,303314
2025-03-27,40.32,40.74,39.97,40.42,292038
2025-03-28,40.44,41.14,40.16,40.85,497873
2025-03-31,40.64,41.03,40.05,40.53,412134
2025-04-01,40.53,40.79,40.05,40.08,380610
2025-04-02,40.06,40.34,38.34,38.99,1028381
2025-04-03,36.87,37.07,35.06,35.06,2233027
2025-04-07,31.52,31.52,31.52,31.52,454870
2025-04-08,28.83,29.64,28.33,28.64,2823765
2025-04-09,27.48,29.1,26.75,28.32,2635132
2025-04-10,31.19,31.19,29.99,30.37,2898769
2025-04-11,29.65,32.64,29.28,31.82,2762099
2025-04-14,33.55,34.07,31.13,31.84,3528631
2025-04-15,31.24,31.26,30.14,30.45,1966044
2025-04-16,29.7,29.81,28.89,29.23,1814178
2025-04-17,29.13,29.52,28.99,29.1,1003293
2025-04-18,29.1,29.69,29.1,29.59,992199
2025-04-21,29.63,30.63,29.41,30.51,1193436
2025-04-22,30.27,30.71,29.81,29.94,1031460
2025-04-23,31.54,31.82,30.6,31.17,2013354
2025-04-24,31.14,31.15,30.36,30.4,1075001
2025-04-25,30.64,31.64,30.64,31.25,1624304
2025-04-28,31.45,31.57,30.54,30.59,1009146
2025-04-29,30.44,30.59,30.03,30.17,887066
2025-04-30,30.23,30.74,30.03,30.49,1238443
2025-05-06,30.63,31.49,30.54,31.45,1376577
2025-05-07,32.09,32.8,30.86,31.16,1638627
2025-05-08,31.05,32.64,30.96,32.38,2102536
2025-05-09,32.15,32.16,31.34,31.72,1312280
2025-05-12,32.99,34.11,32.52,33.76,2752466
2025-05-13,35.13,35.13,33.27,33.44,2869196
2025-05-14,33.29,33.58,32.67,33.16,1822080
2025-05-15,33.19,33.19,32.26,32.3,1194601
2025-05-16,32.14,32.42,32.05,32.14,839028
2025-05-19,32.03,32.03,31.34,31.87,1032061
2025-05-20,31.72,32.29,31.5,32.24,952181
2025-05-21,32.04,32.06,31.7,31.76,959794
2025-05-22,31.49,31.71,31.38,31.41,678683
2025-05-23,31.34,31.67,30.94,30.94,940135
2025-05-26,30.14,30.92,30.02,30.88,1102679
2025-05-27,30.67,30.75,30.07,30.16,987978
2025-05-28,30.35,30.53,29.95,30.03,662413
2025-05-29,30.65,31.16,30.65,31.05,1487913
2025-05-30,30.53,30.53,29.99,30.04,1108521
2025-06-03,29.83,30.1,29.76,29.96,589993
2025-06-04,30.02,30.62,29.94,30.44,839239
2025-06-05,30.49,31.5,30.47,31.27,1420893
2025-06-06,31.05,31.19,30.81,30.96,853423
2025-06-09,31.34,31.72,31.17,31.57,960082
2025-06-10,31.43,31.84,30.99,31.42,1198222
2025-06-11,31.54,32.18,31.44,31.61,989540
2025-06-12,31.29,31.8,31.19,31.48,718273
2025-06-13,31.24,31.62,30.84,30.89,800575
2025-06-16,30.69,31.69,30.66,31.55,960958
2025-06-17,31.55,32.44,31.47,32.31,1536131
2025-06-18,32.05,32.69,32.04,32.58,1183175
2025-06-19,32.6,32.98,32.26,32.36,1061692
2025-06-20,32.29,33.13,32.23,32.85,1191427
2025-06-23,32.63,33.41,32.52,32.83,936487
2025-06-24,32.94,33.2,32.65,32.87,1005406
2025-06-25,32.9,32.92,32.41,32.88,1049008
2025-06-26,32.88,33.19,32.59,32.61,837725
2025-06-27,32.62,33.74,32.33,33.51,1549364
2025-06-30,33.59,34.42,33.59,34.33,1266863
2025-07-01,34.43,34.6,33.9,34.35,781658
2025-07-02,34.23,34.23,33.49,33.56,711858
2025-07-03,33.63,35.82,33.63,35.41,1918363
2025-07-04,35.26,35.31,34.89,34.93,863846
2025-07-07,34.92,34.92,33.89,34.39,883633
2025-07-08,34.24,35.11,34.23,35.0,885172
2025-07-09,35.03,35.59,34.76,34.94,844987
2025-07-10,34.84,35.63,34.77,35.4,837024
2025-07-11,35.52,35.64,35.05,35.4,802635
2025-07-14,35.42,35.51,34.75,35.2,506331
2025-07-15,35.24,36.74,35.18,36.62,1455287
2025-07-16,36.45,37.53,36.34,36.89,1186525
2025-07-17,36.84,39.46,36.73,39.24,1694453
2025-07-18,39.19,39.67,38.38,38.57,1359441
2025-07-21,38.59,38.82,37.66,38.5,1026899
2025-07-22,38.03,38.29,37.62,37.93,914188
2025-07-23,37.75,38.34,37.52,37.8,682219
2025-07-24,37.64,37.84,37.14,37.71,980315
2025-07-25,37.73,38.39,37.63,38.17,819627
2025-07-28,38.24,38.31,37.25,37.6,937408
2025-07-29,37.39,37.45,36.67,37.41,952940
2025-07-30,37.14,38.24,36.75,37.58,924273
2025-07-31,37.27,37.84,36.3,36.47,1006222
2025-08-01,36.56,37.21,36.12,36.48,750004
2025-08-04,35.96,36.23,35.64,36.08,802426
2025-08-05,36.22,36.45,35.97,36.31,568648
2025-08-06,36.22,36.22,35.72,36.05,639854
2025-08-07,37.84,38.5,36.84,36.86,1831705
2025-08-08,36.84,36.84,36.27,36.28,742804
2025-08-11,36.33,38.04,36.33,37.85,1414797
2025-08-12,37.8,38.46,37.58,38.01,764526
2025-08-13,38.18,38.82,37.66,38.19,1058070
2025-08-14,38.34,38.89,38.05,38.32,979235
2025-08-15,37.94,38.66,37.82,38.43,874170
2025-08-18,38.44,40.2,38.13,39.43,1538959
2025-08-19,39.44,39.59,38.45,38.94,1088496
2025-08-20,38.83,40.59,38.06,39.89,1327847
2025-08-21,39.94,42.27,39.65,42.03,2006844
2025-08-22,41.3,42.72,41.17,42.54,1401673
2025-08-25,43.22,44.13,41.97,42.79,1523545
2025-08-26,43.04,46.64,43.04,45.44,2223220
2025-08-27,44.86,47.01,44.74,44.82,2009690
2025-08-28,44.83,45.94,44.19,45.94,1653241
2025-08-29,45.93,47.2,45.01,45.82,1730294
2025-09-01,45.94,46.64,44.74,45.11,1406210
2025-09-02,44.92,45.43,43.34,43.64,1480183
2025-09-03,43.85,44.27,42.83,43.06,1008899
2025-09-04,43.55,45.53,43.34,44.23,2006377
2025-09-05,44.2,47.04,43.54,47.04,2281915
2025-09-08,48.93,51.76,48.62,49.59,2891255
2025-09-09,49.62,50.59,47.32,47.55,1881293
2025-09-10,46.12,48.81,45.66,47.93,2018773
2025-09-11,47.04,52.74,46.35,52.74,2842144
2025-09-12,54.04,55.5,52.3,52.55,4258492
2025-09-15,51.98,54.07,51.91,52.58,2494998
2025-09-16,52.5,54.04,51.99,52.23,2003490
2025-09-17,52.47,52.83,51.34,51.85,1949552
2025-09-18,51.34,54.78,50.94,52.95,3155362
2025-09-19,54.15,57.75,53.87,55.25,3197040
2025-09-22,60.79,60.79,59.97,60.79,902794
2025-09-23,66.89,66.89,63.5,65.54,5541239
2025-09-24,64.07,72.04,63.54,70.04,4516356
2025-09-25,69.64,71.42,68.04,68.58,3317715
2025-09-26,68.56,68.62,64.0,64.09,3320909
2025-09-29,64.09,65.2,62.52,64.64,2628525
2025-09-30,65.24,66.22,63.6,64.53,2295291
2025-10-09,63.68,65.99,63.2,65.14,2616510
2025-10-10,64.34,64.79,60.05,60.64,2609551
2025-10-13,54.96,58.21,54.96,57.59,2672903
2025-10-14,58.64,59.81,54.39,54.85,2485991
2025-10-15,54.88,58.22,53.72,58.04,2425274
2025-10-16,57.88,61.44,57.57,59.04,2563255
2025-10-17,59.09,59.09,55.24,55.33,1792402
2025-10-20,56.7,57.69,56.28,56.99,1625196
2025-10-21,58.84,62.71,58.79,60.99,2929366
2025-10-22,59.94,60.99,59.37,59.95,1324250
2025-10-23,59.14,60.29,58.12,59.98,1097410
2025-10-24,60.73,63.99,60.5,63.75,2344458
2025-10-27,65.72,65.83,63.37,65.24,2339921
2025-10-28,64.54,65.64,63.84,64.5,1426328
2025-10-29,65.75,67.32,65.01,67.12,1800528
2025-10-30,66.94,67.13,63.5,64.88,1787884
2025-10-31,66.04,66.72,62.84,62.84,1734152
2025-11-03,62.64,62.8,60.53,62.76,1404143
2025-11-04,62.34,62.68,59.9,60.38,1289906
2025-11-05,58.44,61.3,58.2,60.82,1121729
2025-11-06,60.82,61.7,59.64,61.5,1324713
2025-11-07,60.56,60.84,59.68,59.74,1053634
2025-11-10,59.34,60.04,57.05,58.24,1535276
2025-11-11,58.82,58.99,56.07,56.33,1084897
2025-11-12,56.28,58.3,56.21,57.61,1357175
2025-11-13,57.04,58.19,56.72,57.22,939953
2025-11-14,56.5,58.07,55.94,56.35,1017544
2025-11-17,56.33,57.28,55.96,56.39,741856
2025-11-18,55.96,57.59,55.24,56.45,1054029
2025-11-19,56.84,57.78,56.25,56.59,935330
2025-11-20,57.94,58.04,55.52,55.59,959812
2025-11-21,53.84,54.12,52.64,52.69,1499996
2025-11-24,53.03,53.69,52.04,53.09,957030
2025-11-25,54.06,56.23,53.88,55.54,1450760
2025-11-26,55.16,58.69,54.75,57.44,1591539
2025-11-27,57.54,58.97,56.64,56.8,1263804
2025-11-28,56.66,58.02,56.59,57.62,962578
2025-12-01,57.69,59.13,56.24,58.45,1377362
2025-12-02,58.41,61.34,58.02,59.84,1813965
2025-12-03,59.92,60.24,58.29,58.66,1080866
2025-12-04,58.45,59.57,56.95,59.47,1038909
2025-12-05,59.46,59.52,58.55,59.09,716996
2025-12-08,58.94,60.55,58.58,59.92,1114481
2025-12-09,59.91,61.35,59.44,60.44,1106581
2025-12-10,59.74,59.74,57.86,59.37,956685
2025-12-11,59.32,61.14,58.03,58.09,876398
2025-12-12,58.07,60.72,57.44,60.22,1321919
2025-12-15,59.39,59.51,57.13,57.2,1226735
2025-12-16,56.54,57.73,56.16,57.17,724960
2025-12-17,56.99,58.63,56.92,58.5,761786
2025-12-18,57.67,58.01,56.8,56.82,599647
2025-12-19,57.05,57.71,56.59,56.62,618461
2025-12-22,56.94,58.1,56.83,57.57,777263
2025-12-23,57.39,58.44,57.27,57.89,775056
2025-12-24,58.02,59.46,57.45,59.13,918593
2025-12-25,58.84,59.79,58.09,59.27,794110
2025-12-26,59.02,59.04,58.21,58.24,742665
2025-12-29,57.94,59.2,57.75,58.06,930551
2025-12-30,57.82,59.22,57.02,57.91,991647
2025-12-31,58.39,58.49,56.24,56.55,1049052
2026-01-05,56.96,59.33,56.95,58.39,1594553
2026-01-06,58.72,59.34,57.66,59.06,1415400
2026-01-07,58.84,58.94,56.64,57.39,1873574
2026-01-08,56.86,56.9,54.61,55.0,2401117
2026-01-09,54.69,56.14,53.84,55.49,1540790
2026-01-12,55.04,55.44,53.84,55.27,1883905
2026-01-13,55.49,56.39,54.18,54.42,1334982
2026-01-14,54.04,54.64,53.3,53.42,1699139
2026-01-15,53.18,57.41,53.07,57.21,2628471
2026-01-16,58.12,59.75,57.75,57.92,2599903
2026-01-19,57.94,60.32,57.64,57.7,1957200
2026-01-20,57.74,58.17,55.15,57.3,1772260
2026-01-21,56.49,58.14,56.44,56.9,1117199
2026-01-22,57.27,58.19,55.94,56.25,1498042
2026-01-23,56.47,56.47,54.84,55.34,1449254
2026-01-26,55.22,55.24,53.85,53.93,1271112
2026-01-27,54.16,54.63,52.7,53.56,1227843
2026-01-28,53.54,54.79,52.66,53.12,1511949
2026-01-29,52.84,52.97,51.57,51.73,1472606
2026-01-30,51.45,52.34,50.86,51.53,1085588
2026-02-02,51.83,53.44,51.83,52.06,1384862
2026-02-03,52.67,53.23,51.09,52.3,1046638
2026-02-04,51.85,51.89,50.49,51.74,1244424
2026-02-05,51.34,52.42,51.26,51.54,759859
2026-02-06,51.21,51.85,50.54,51.01,724911
2026-02-09,51.83,51.84,51.17,51.56,775300
2026-02-10,51.53,51.82,51.21,51.53,746831
2026-02-11,51.23,51.76,50.86,50.99,689452
2026-02-12,51.1,51.33,50.3,50.43,970240
2026-02-13,49.91,51.08,49.26,50.8,1144926
2026-02-24,51.41,51.49,50.51,50.63,844153
2026-02-25,50.55,51.93,50.47,51.58,1247048
2026-02-26,51.59,51.63,51.04,51.16,1064251
2026-02-27,50.65,50.69,49.32,50.22,1272716
2026-03-02,49.31,49.72,48.38,49.11,1289834
2026-03-03,49.16,49.74,47.2,47.39,1360265
2026-03-04,46.67,47.09,45.8,46.28,1198906
2026-03-05,47.0,47.76,46.88,47.0,1008733
2026-03-06,46.59,47.42,46.47,47.3,732496
2026-03-09,46.27,46.62,45.43,46.5,973749
2026-03-10,47.2,49.7,47.2,49.39,1814094
2026-03-11,49.45,50.88,49.28,50.17,1686484
2026-03-12,49.9,50.43,49.28,49.7,860416
2026-03-13,49.35,50.28,49.05,49.33,819833
2026-03-16,49.01,49.27,47.51,49.26,965272
2026-03-17,50.18,51.76,49.76,49.83,1850095
2026-03-18,49.66,49.89,48.9,49.34,861205
2026-03-19,48.38,48.8,47.85,48.04,918059
2026-03-20,48.39,49.7,48.22,48.22,1004845
2026-03-23,47.53,47.75,45.95,46.3,1017446
2026-03-24,46.8,46.94,44.57,46.34,1105607
2026-03-25,47.38,50.97,47.0,50.97,2608861
2026-03-26,51.71,51.71,49.96,50.19,2200194
2026-03-27,48.18,51.29,48.18,50.61,1749811
